,Label (Grouping)_x,Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),tract_numb,Label (Grouping)_y,Unemployment Rate,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),tract,LOGRECNO,GEOID,geoid,typo,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                             ,label 
333,"Census Tract 460, Bronx County, New York!!Estimate",236,511,43.1,"31,766","42,823","1,020",0,2.9,4.1,"420,200","3,072",917,925,"2,620",841,694,(X),"2,888",70.08244994,35.5,"Census Tract 460, Bronx County, New York","Census Tract 460, Bronx County, New York!!Percent",13.00%,0.00%,9.60%,0.00%,0.00%,5.00%,4.70%,2.40%,2.00%,5.10%,57.30%,4.90%,4.10%,4.70%,21.60%,82.90%,43.60%,0.00%,0.00%,82.80%,0.00%,32.10%,48.50%,5.80%,1.90%,0.00%,0.00%,82.00%,8.90%,61.70%,57.20%,11.60%,10.40%,8.80%,7.60%,13.30%,4.10%,71.60%,0.30%,0.10%,29.80%,460,3813,14000US36005046000,36005046000,LI - At Risk of Gentrification,NY,287815,0,0.111,0,40.8824438,-73.8426481,1
334,"Census Tract 462.01, Bronx County, New York!!Estimate","1,297","2,908",51.8,"45,770","58,677","12,954",0,0,3.9,"24,900",378,100-,937,"27,976","9,531","6,991",(X),"29,256",82.17821782,48.5,"Census Tract 462.01, Bronx County, New York","Census Tract 462.01, Bronx County, New York!!Percent",8.70%,0.00%,0.30%,2.50%,0.50%,6.20%,8.90%,3.20%,11.80%,9.20%,37.10%,6.30%,2.40%,11.40%,4.60%,95.20%,74.70%,0.00%,0.00%,59.40%,1.20%,13.90%,48.20%,12.20%,0.30%,2.00%,0.90%,20.90%,24.10%,46.70%,40.00%,7.50%,5.90%,25.80%,8.60%,29.20%,17.20%,61.00%,0.00%,1.10%,30.40%,462.01,3814,14000US36005046201,36005046201,LI - At Risk of Gentrification,NY,2087857,106211,0.806,0.041,40.8766075,-73.826004,1
335,"Census Tract 462.02, Bronx County, New York!!Estimate",675,"1,747",47,"35,733","53,547","2,624",0,1.4,4.7,"403,200","2,090","1,217","1,058","8,612","3,484","3,038",(X),"9,410",68.4870188,35.7,"Census Tract 462.02, Bronx County, New York","Census Tract 462.02, Bronx County, New York!!Percent",19.00%,0.00%,6.30%,0.90%,2.50%,6.80%,10.50%,1.60%,4.30%,10.50%,44.80%,4.90%,5.40%,1.60%,17.10%,92.90%,50.90%,0.00%,1.90%,65.80%,1.10%,29.40%,51.50%,16.70%,2.30%,8.90%,2.10%,70.20%,17.40%,49.10%,48.80%,9.30%,10.40%,22.90%,4.20%,19.40%,7.20%,71.90%,2.40%,1.60%,25.20%,462.02,3815,14000US36005046202,36005046202,LI - Ongoing Gentrification,NY,939524,14970,0.363,0.006,40.8794276,-73.8341062,1
336,"Census Tract 484, Bronx County, New York!!Estimate",129,549,42.7,"68,750","86,391","1,303",2.3,3.9,5.1,"379,800","3,064",861,"1,445","4,021","1,862","1,726",(X),"4,054",98.04592086,39,"Census Tract 484, Bronx County, New York","Census Tract 484, Bronx County, New York!!Percent",11.40%,0.00%,5.70%,6.30%,2.50%,10.90%,7.50%,1.50%,6.50%,4.10%,35.60%,5.10%,9.70%,4.50%,3.30%,90.40%,70.60%,1.30%,0.00%,39.30%,0.00%,22.60%,22.80%,25.60%,11.10%,3.90%,1.60%,77.40%,9.70%,58.20%,44.20%,11.10%,8.30%,26.50%,6.60%,11.90%,7.90%,77.60%,4.30%,0.30%,16.80%,484,3816,14000US36005048400,36005048400,MHI - Stable Exclusion,NY,697175,0,0.269,0,40.8863051,-73.8345873,0
337,"Census Tract 504, Bronx County, New York!!Estimate",8,8,N,-,"288,510",32,0,40.7,3.6,-,-,-,967,65,18,18,(X),65,225,26.9,"Census Tract 504, Bronx County, New York","Census Tract 504, Bronx County, New York!!Percent",0.00%,0.00%,0.00%,0.00%,8.60%,48.60%,0.00%,0.00%,0.00%,0.00%,22.90%,20.00%,0.00%,0.00%,0.00%,100.00%,75.40%,0.00%,0.00%,76.20%,0.00%,19.00%,57.10%,0.00%,0.00%,0.00%,0.00%,100.00%,12.30%,43.90%,50.00%,0.00%,28.60%,16.30%,20.00%,18.50%,7.70%,47.70%,0.00%,4.60%,78.50%,504,3817,14000US36005050400,36005050400,Missing Data,NY,7243541,8954639,2.797,3.457,40.8695935,-73.7958478,0
338,"Census Tract 516, Bronx County, New York!!Estimate",174,577,37.2,"80,396","91,516","2,106",0,0,5,"475,800","2,934",958,"1,226","4,016",452,296,(X),"4,034",85.89861751,48.3,"Census Tract 516, Bronx County, New York","Census Tract 516, Bronx County, New York!!Percent",11.30%,0.00%,3.20%,1.90%,0.90%,7.30%,2.20%,4.90%,7.30%,11.10%,42.80%,3.20%,6.40%,8.80%,4.40%,91.70%,73.40%,0.00%,0.00%,35.50%,3.30%,25.30%,20.50%,32.30%,7.60%,0.00%,1.00%,60.90%,25.50%,48.40%,24.60%,0.90%,5.40%,37.20%,11.20%,30.20%,76.10%,0.70%,0.00%,5.10%,28.60%,516,3818,14000US36005051600,36005051600,MHI - Ongoing Exclusion,NY,1534951,7815123,0.593,3.017,40.8465403,-73.7784579,0
339,"Census Tract 1, Kings County, New York!!Estimate",255,162,31.9,"87,192","132,598","2,427",0,0,3.5,"739,000","2,631",506,"1,478","3,735",754,672,(X),"4,224",100.5698006,46.3,"Census Tract 1, Kings County, New York","Census Tract 1, Kings County, New York!!Percent",4.40%,1.40%,2.60%,0.60%,0.80%,7.70%,0.00%,7.90%,27.60%,21.10%,22.10%,5.60%,2.70%,0.00%,6.30%,87.70%,78.60%,0.00%,0.00%,54.20%,3.70%,31.80%,63.90%,4.00%,0.00%,0.70%,2.50%,44.20%,19.60%,34.90%,28.40%,3.30%,0.50%,68.10%,36.00%,27.20%,71.50%,9.50%,0.00%,9.20%,8.10%,1,4488,14000US36047000100,36047000100,MHI - Stable Exclusion,NY,207813,0,0.08,0,40.700215,-73.9938088,0
340,"Census Tract 2, Kings County, New York!!Estimate",98,288,38.9,"48,393","54,055",441,0,0,4.2,"462,100","2,900",-,"1,327","1,601",876,758,(X),"1,638",142.6666667,31.1,"Census Tract 2, Kings County, New York","Census Tract 2, Kings County, New York!!Percent",7.00%,0.00%,4.90%,13.90%,6.60%,11.60%,2.60%,0.00%,1.70%,11.50%,12.50%,26.40%,5.90%,2.30%,12.10%,71.90%,28.60%,0.00%,0.00%,81.60%,2.70%,19.30%,83.80%,7.00%,1.20%,22.70%,5.10%,68.40%,7.20%,65.40%,44.80%,27.00%,31.80%,8.00%,6.20%,7.90%,20.80%,4.00%,0.00%,1.60%,89.70%,2,4489,14000US36047000200,36047000200,LI - Not Losing Low-Income Households,NY,276929,0,0.107,0,40.6532475,-74.0110678,0
341,"Census Tract 3.01, Kings County, New York!!Estimate",293,313,32.7,"112,361","200,742","2,271",7.7,2.3,3.8,"762,800","2,740","1,193","2,023","3,617",588,518,(X),"4,246",104.0365209,41.1,"Census Tract 3.01, Kings County, New York","Census Tract 3.01, Kings County, New York!!Percent",2.40%,0.00%,5.30%,0.70%,2.00%,4.50%,1.70%,10.20%,15.80%,28.40%,16.50%,3.40%,8.10%,3.40%,4.20%,84.30%,78.50%,0.00%,0.00%,41.40%,6.00%,32.70%,66.80%,6.00%,0.90%,0.00%,0.90%,63.60%,16.10%,34.40%,26.10%,1.20%,0.70%,66.60%,45.00%,17.20%,81.50%,3.00%,0.50%,5.80%,7.70%,3.01,4490,14000US36047000301,36047000301,MHI - Stable Exclusion,NY,200999,0,0.078,0,40.6963724,-73.9973734,0
342,"Census Tract 5.01, Kings County, New York!!Estimate",296,180,29,"124,205","163,519","2,007",4.2,0,3.1,"727,700","2,463",596,"1,894","3,420","1,333","1,185",(X),"4,697",88.55881172,31.8,"Census Tract 5.01, Kings County, New York","Census Tract 5.01, Kings County, New York!!Percent",5.90%,0.00%,0.20%,1.90%,3.60%,6.50%,0.30%,8.00%,19.10%,25.80%,17.30%,9.40%,2.20%,5.70%,4.50%,97.10%,85.50%,0.00%,0.00%,55.80%,4.00%,36.80%,72.20%,3.80%,0.00%,1.60%,2.60%,61.50%,12.50%,58.20%,58.30%,2.50%,1.70%,79.80%,32.70%,15.50%,74.20%,6.60%,0.00%,10.10%,9.00%,5.01,4491,14000US36047000501,36047000501,MHI - Stable Exclusion,NY,83724,0,0.032,0,40.6958143,-73.9947007,0
343,"Census Tract 5.02, Kings County, New York!!Estimate",195,114,30,"100,805","152,866","1,672",0,0,2.8,"490,200","2,448",655,"1,998","2,524",616,598,(X),"2,618",99.23896499,37,"Census Tract 5.02, Kings County, New York","Census Tract 5.02, Kings County, New York!!Percent",5.80%,0.00%,3.30%,1.80%,0.40%,2.80%,0.70%,9.80%,14.00%,30.30%,20.10%,8.80%,3.80%,4.10%,2.70%,97.30%,85.00%,0.00%,0.70%,66.50%,6.40%,31.90%,72.60%,6.50%,0.00%,1.00%,4.60%,52.90%,17.80%,44.30%,44.70%,1.30%,2.20%,86.60%,35.00%,20.80%,82.70%,4.00%,0.00%,7.80%,8.30%,5.02,4492,14000US36047000502,36047000502,MHI - Stable Exclusion,NY,96799,0,0.037,0,40.6951344,-73.9928614,0
344,"Census Tract 7, Kings County, New York!!Estimate",436,419,32.6,"133,472","218,512","2,111",0,4.9,3.6,"1,235,700","4,000+","1,461","2,115","4,076",702,633,(X),"4,110",94.0509915,36.5,"Census Tract 7, Kings County, New York","Census Tract 7, Kings County, New York!!Percent",3.20%,0.00%,0.00%,6.30%,0.70%,3.10%,1.20%,12.70%,14.40%,30.30%,21.40%,4.20%,3.40%,2.30%,3.10%,97.30%,92.80%,1.30%,0.00%,57.40%,3.40%,42.00%,66.60%,2.20%,2.70%,2.60%,0.40%,68.80%,8.80%,40.30%,32.30%,0.90%,0.50%,86.90%,37.30%,9.50%,81.40%,1.70%,0.00%,10.70%,8.90%,7,4493,14000US36047000700,36047000700,MHI - Ongoing Exclusion,NY,176776,0,0.068,0,40.6923505,-73.9973434,0
345,"Census Tract 9, Kings County, New York!!Estimate",347,188,30.2,"124,719","203,390","2,158",0,0,2.9,"715,300","3,188",800,"2,722","3,648",817,751,(X),"4,245",109.3195266,33.4,"Census Tract 9, Kings County, New York","Census Tract 9, Kings County, New York!!Percent",1.50%,0.00%,0.60%,1.70%,1.80%,4.40%,2.80%,9.00%,14.80%,35.90%,20.90%,5.00%,1.70%,1.40%,2.90%,97.10%,91.10%,0.00%,0.00%,67.60%,12.10%,46.60%,78.10%,2.20%,0.00%,3.30%,5.10%,54.10%,6.90%,57.40%,54.30%,3.10%,0.30%,85.50%,35.30%,8.30%,71.30%,6.50%,0.00%,14.30%,6.40%,9,4494,14000US36047000900,36047000900,MHI - Ongoing Exclusion,NY,163469,0,0.063,0,40.6917206,-73.9916018,0
346,"Census Tract 11, Kings County, New York!!Estimate",55,22,29.1,"114,844","147,129",689,0,0,2.6,"1,321,400","4,000+",-,"2,867","1,124",302,280,(X),"1,124",120.8251473,31.1,"Census Tract 11, Kings County, New York","Census Tract 11, Kings County, New York!!Percent",4.10%,0.00%,2.70%,1.00%,2.00%,9.50%,2.50%,7.90%,13.40%,34.20%,12.10%,3.20%,2.20%,9.40%,3.10%,95.30%,90.40%,5.10%,45.60%,96.70%,20.80%,77.70%,84.80%,2.00%,0.00%,2.80%,3.60%,100.00%,0.10%,47.30%,47.80%,0.00%,0.60%,85.10%,42.70%,1.60%,67.90%,8.30%,0.00%,17.80%,9.40%,11,4495,14000US36047001100,36047001100,MHI - Stable Exclusion,NY,168507,0,0.065,0,40.6932903,-73.9877087,0
347,"Census Tract 13, Kings County, New York!!Estimate",135,135,30.2,"105,938","129,601","1,053",0,17,3.4,"433,400","1,326",293,"2,204","1,676",557,493,(X),"2,565",129.8387097,36.9,"Census Tract 13, Kings County, New York","Census Tract 13, Kings County, New York!!Percent",2.80%,0.00%,1.40%,0.60%,0.00%,6.70%,2.70%,6.20%,9.40%,24.20%,29.00%,5.40%,4.10%,10.20%,1.80%,81.00%,73.70%,0.00%,0.00%,16.00%,2.00%,26.00%,48.70%,7.30%,0.70%,2.00%,2.40%,57.00%,13.90%,36.50%,22.80%,2.20%,0.50%,52.70%,34.90%,17.10%,66.10%,11.00%,0.00%,10.20%,19.10%,13,4496,14000US36047001300,36047001300,MHI - Stable Exclusion,NY,293169,0,0.113,0,40.697615,-73.9883586,0
348,"Census Tract 15, Kings County, New York!!Estimate",372,672,32.5,"94,946","124,355","3,190",5.8,3.9,3.2,"949,000","3,546","1,254","2,253","6,170","2,400","1,963",(X),"6,390",88.2179676,31.9,"Census Tract 15, Kings County, New York","Census Tract 15, Kings County, New York!!Percent",9.60%,0.00%,1.70%,4.10%,2.70%,7.30%,2.50%,8.50%,15.60%,22.60%,17.20%,9.80%,3.30%,4.90%,7.80%,95.40%,68.80%,2.90%,13.90%,79.60%,14.10%,59.40%,74.60%,2.20%,0.00%,4.20%,5.80%,75.00%,5.40%,60.00%,50.40%,4.20%,7.60%,60.50%,24.80%,8.60%,37.20%,24.70%,0.20%,21.70%,20.80%,15,4497,14000US36047001500,36047001500,MHI - Advanced Gentrification,NY,306487,0,0.118,0,40.6942526,-73.9829865,1
349,"Census Tract 18, Kings County, New York!!Estimate",0,0,-,-,-,0,-,-,-,-,-,-,-,0,851,705,(X),"2,073",6181.818182,37,"Census Tract 18, Kings County, New York","Census Tract 18, Kings County, New York!!Percent",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.60%,53.40%,51.50%,11.40%,27.80%,6.30%,13.20%,3.40%,36.10%,41.00%,2.00%,1.40%,48.00%,18,4498,14000US36047001800,36047001800,MHI - Stable Exclusion,NY,2020170,4743277,0.78,1.831,40.6560973,-74.0308891,0
350,"Census Tract 20, Kings County, New York!!Estimate",96,198,43.5,"61,635","68,446",457,12.1,15.3,4,"564,100","1,875",-,"1,299","1,265",687,549,(X),"1,265",112.605042,31.5,"Census Tract 20, Kings County, New York","Census Tract 20, Kings County, New York!!Percent",7.10%,0.00%,17.60%,3.10%,2.60%,12.20%,5.90%,4.10%,9.00%,5.30%,17.80%,16.60%,2.80%,3.10%,4.70%,76.40%,36.00%,0.00%,4.20%,84.00%,0.00%,18.70%,51.00%,7.40%,0.60%,25.60%,5.50%,75.90%,9.50%,57.50%,47.00%,28.00%,22.00%,15.60%,3.20%,10.10%,37.20%,4.80%,2.40%,8.50%,86.50%,20,4499,14000US36047002000,36047002000,MHI - Advanced Gentrification,NY,154138,0,0.06,0,40.6480407,-74.0159276,1
351,"Census Tract 21, Kings County, New York!!Estimate",688,347,33.1,"211,071","267,005","2,100",4.8,3.2,3.2,"1,368,600","4,000+","1,219","3,261","4,423",875,748,(X),"4,628",106.8842199,34.5,"Census Tract 21, Kings County, New York","Census Tract 21, Kings County, New York!!Percent",6.20%,0.00%,2.50%,3.00%,0.50%,5.80%,1.90%,14.20%,17.00%,26.00%,13.50%,8.60%,3.60%,3.50%,1.50%,95.80%,90.40%,1.20%,6.60%,61.70%,10.00%,54.90%,45.50%,7.10%,0.50%,6.80%,3.70%,80.70%,2.50%,33.10%,31.90%,0.90%,3.60%,82.00%,38.70%,3.00%,77.90%,3.40%,0.00%,8.60%,6.90%,21,4500,14000US36047002100,36047002100,VHI - Super Gentrification or Exclusion,NY,528163,39281,0.204,0.015,40.7034283,-73.9871126,0
352,"Census Tract 22, Kings County, New York!!Estimate",242,617,42.5,"42,083","62,985","1,737",0,3.3,3.8,-,"2,704",100-,"1,184","4,791","2,866","2,489",(X),"4,976",94.83163665,38.7,"Census Tract 22, Kings County, New York","Census Tract 22, Kings County, New York!!Percent",11.40%,0.00%,9.20%,6.80%,3.00%,7.50%,8.10%,1.80%,5.20%,4.80%,25.60%,18.30%,6.40%,3.30%,10.50%,76.80%,34.00%,0.00%,0.00%,71.00%,2.30%,26.70%,56.40%,5.60%,0.00%,11.60%,2.80%,33.30%,15.30%,45.20%,36.40%,14.60%,11.90%,24.10%,3.30%,19.50%,40.00%,3.40%,0.00%,12.90%,67.30%,22,4501,14000US36047002200,36047002200,LI - At Risk of Gentrification,NY,340046,0,0.131,0,40.6434585,-74.0216933,1
353,"Census Tract 23, Kings County, New York!!Estimate",577,610,53.6,"18,125","28,814","1,637",0,0,4.2,-,-,-,425,"4,389","1,275","1,046",(X),"4,389",81.21387283,31.3,"Census Tract 23, Kings County, New York","Census Tract 23, Kings County, New York!!Percent",30.80%,0.00%,0.00%,3.90%,0.90%,13.60%,0.30%,1.30%,8.20%,6.80%,30.40%,20.80%,10.10%,3.60%,27.80%,88.70%,28.60%,0.00%,0.00%,97.80%,2.40%,17.70%,81.40%,5.40%,0.00%,8.40%,5.00%,0.00%,8.40%,57.90%,58.80%,10.30%,25.40%,12.10%,8.30%,13.60%,7.70%,56.70%,0.00%,14.30%,29.90%,23,4502,14000US36047002300,36047002300,LI - At Risk of Gentrification,NY,182214,0,0.07,0,40.6995617,-73.9832799,1
354,"Census Tract 29.01, Kings County, New York!!Estimate",240,707,41.1,"21,226","29,425","1,325",0,0,4,-,-,-,509,"3,559","1,284","1,119",(X),"4,074",65.07293355,31.5,"Census Tract 29.01, Kings County, New York","Census Tract 29.01, Kings County, New York!!Percent",19.90%,0.00%,0.80%,9.10%,0.70%,14.00%,5.50%,0.00%,4.70%,4.60%,34.30%,11.20%,7.60%,7.50%,21.60%,93.00%,26.40%,0.00%,0.00%,99.30%,1.70%,23.80%,81.80%,1.00%,0.00%,6.60%,2.80%,100.00%,8.80%,51.50%,51.80%,15.70%,17.40%,6.50%,8.20%,11.10%,7.50%,52.00%,0.00%,19.80%,29.80%,29.01,4503,14000US36047002901,36047002901,LI - At Risk of Gentrification,NY,109261,0,0.042,0,40.6949933,-73.9780959,1
355,"Census Tract 30, Kings County, New York!!Estimate",116,330,42.5,"75,208","103,521",707,0,5.6,3.8,"630,100","2,195",794,"1,423","1,792",614,550,(X),"1,792",98.4496124,33.6,"Census Tract 30, Kings County, New York","Census Tract 30, Kings County, New York!!Percent",7.30%,0.70%,5.10%,4.20%,0.00%,5.70%,7.40%,3.20%,6.50%,16.80%,37.70%,1.90%,4.20%,6.70%,3.30%,95.50%,77.50%,0.00%,0.00%,43.70%,2.60%,33.80%,38.20%,23.70%,3.20%,6.50%,6.40%,60.60%,8.10%,46.10%,35.70%,7.00%,2.60%,55.30%,6.30%,10.70%,65.60%,4.30%,0.00%,7.40%,22.30%,30,4504,14000US36047003000,36047003000,MHI - Ongoing Exclusion,NY,110188,0,0.043,0,40.6388788,-74.0289766,0
356,"Census Tract 31, Kings County, New York!!Estimate",57,130,30.4,"76,420","92,128","1,089",2.9,0,3.3,"423,000","1,570",130,"1,905","1,920",859,796,(X),"2,879",71.9832736,41.2,"Census Tract 31, Kings County, New York","Census Tract 31, Kings County, New York!!Percent",10.00%,0.00%,2.30%,1.30%,0.40%,7.50%,2.80%,8.50%,8.10%,19.10%,36.20%,4.10%,4.30%,5.40%,3.10%,96.60%,88.50%,0.00%,11.70%,41.30%,3.70%,32.40%,61.10%,3.20%,1.30%,2.40%,2.60%,57.00%,27.30%,50.90%,55.60%,10.70%,5.40%,54.50%,28.20%,29.60%,30.10%,41.40%,0.00%,17.60%,12.00%,31,4505,14000US36047003100,36047003100,MHI - Ongoing Exclusion,NY,287081,0,0.111,0,40.6916164,-73.9776998,0
357,"Census Tract 33, Kings County, New York!!Estimate",189,210,27.6,"115,509","156,503","1,737",0,2.7,2.9,"904,100","3,302",676,"2,266","3,171","1,051",877,(X),"3,171",99.55947137,33.8,"Census Tract 33, Kings County, New York","Census Tract 33, Kings County, New York!!Percent",3.40%,0.00%,0.90%,2.10%,0.40%,5.70%,2.90%,10.80%,15.70%,24.10%,22.70%,10.40%,3.20%,1.10%,4.70%,89.90%,76.90%,3.10%,8.10%,74.30%,9.00%,53.60%,73.80%,3.10%,0.70%,3.10%,2.90%,64.10%,5.50%,55.20%,54.00%,4.00%,4.80%,68.20%,32.60%,7.40%,60.90%,15.60%,0.00%,6.90%,18.60%,33,4506,14000US36047003300,36047003300,MHI - Stable Exclusion,NY,164582,0,0.064,0,40.6885112,-73.9781063,0
358,"Census Tract 34, Kings County, New York!!Estimate",132,287,45,"69,042","92,281","1,488",0,7.8,3.7,"589,000","2,724",671,"1,315","2,812","1,292","1,190",(X),"2,829",99.0851513,49.2,"Census Tract 34, Kings County, New York","Census Tract 34, Kings County, New York!!Percent",4.50%,0.60%,6.00%,5.40%,4.80%,9.70%,4.60%,3.70%,7.10%,22.30%,17.10%,7.10%,7.40%,4.20%,7.10%,91.40%,61.50%,0.00%,2.20%,48.20%,2.30%,24.70%,46.00%,14.70%,2.20%,1.40%,3.00%,59.80%,20.60%,30.30%,23.00%,5.40%,9.40%,43.50%,7.40%,24.70%,71.10%,2.50%,0.00%,19.10%,16.00%,34,4507,14000US36047003400,36047003400,MHI - Stable Exclusion,NY,477399,2572532,0.184,0.993,40.6445449,-74.0466996,0
359,"Census Tract 35, Kings County, New York!!Estimate",118,139,34.6,"61,450","106,733",906,0,0.7,3,"1,513,900","4,000+",876,"1,202","1,574",441,365,(X),"1,589",80.56818182,38.2,"Census Tract 35, Kings County, New York","Census Tract 35, Kings County, New York!!Percent",11.00%,0.00%,2.80%,4.40%,0.50%,3.90%,2.60%,9.40%,11.70%,15.60%,30.10%,11.30%,3.70%,4.00%,9.40%,92.70%,76.90%,0.00%,0.00%,72.70%,8.60%,26.80%,61.00%,2.60%,0.60%,1.40%,6.40%,62.20%,13.30%,42.10%,45.40%,0.90%,5.40%,57.80%,19.60%,17.40%,40.60%,40.70%,0.00%,6.40%,12.20%,35,4508,14000US36047003500,36047003500,MHI - Stable Exclusion,NY,133027,0,0.051,0,40.6853252,-73.9761803,0
360,"Census Tract 36, Kings County, New York!!Estimate",558,333,45.6,"73,958","96,318","1,872",0,0,3.7,"370,600","1,619",791,"1,412","4,332","1,788","1,741",(X),"4,342",94.62124608,37,"Census Tract 36, Kings County, New York","Census Tract 36, Kings County, New York!!Percent",5.00%,0.00%,2.00%,6.10%,1.80%,6.90%,6.00%,2.40%,10.40%,15.10%,30.50%,7.80%,2.80%,8.10%,7.50%,93.40%,71.90%,0.00%,0.00%,52.30%,1.50%,36.60%,36.10%,15.90%,0.80%,8.10%,2.50%,71.80%,11.20%,38.90%,26.60%,3.20%,3.20%,53.40%,7.10%,16.10%,65.00%,2.70%,0.40%,21.10%,15.10%,36,4509,14000US36047003600,36047003600,MHI - Ongoing Exclusion,NY,125291,0,0.048,0,40.6346861,-74.0308979,0
361,"Census Tract 37, Kings County, New York!!Estimate",78,59,31,"128,917","149,537",676,0,6,2.6,"802,200","2,682","1,303","2,646","1,109",316,274,(X),"1,214",100,31.1,"Census Tract 37, Kings County, New York","Census Tract 37, Kings County, New York!!Percent",3.90%,0.00%,1.30%,1.30%,4.60%,4.10%,1.90%,9.00%,14.40%,37.00%,15.30%,5.70%,2.80%,2.70%,5.70%,96.50%,88.70%,0.00%,45.30%,73.90%,8.30%,77.50%,75.50%,1.00%,0.00%,0.00%,10.50%,82.00%,3.50%,57.90%,56.30%,1.50%,1.90%,85.60%,42.80%,3.90%,75.90%,5.20%,0.00%,10.40%,7.60%,37,4510,14000US36047003700,36047003700,MHI - Advanced Gentrification,NY,166441,0,0.064,0,40.6893926,-73.9847008,1
362,"Census Tract 38, Kings County, New York!!Estimate",132,106,39.9,"83,056","108,932",744,4.2,4.8,4.5,"771,200","2,200",794,"1,479","1,459",484,443,(X),"1,459",117.4366617,47.3,"Census Tract 38, Kings County, New York","Census Tract 38, Kings County, New York!!Percent",5.40%,0.00%,6.10%,5.70%,1.70%,9.40%,1.30%,3.00%,11.10%,16.40%,25.60%,8.40%,2.70%,8.70%,2.60%,96.10%,78.50%,0.00%,0.00%,41.30%,0.00%,29.80%,17.70%,25.50%,3.20%,3.10%,1.00%,56.00%,13.80%,36.40%,21.20%,2.40%,3.90%,52.40%,8.10%,19.90%,75.80%,0.00%,0.00%,14.70%,6.40%,38,4511,14000US36047003800,36047003800,MHI - Stable Exclusion,NY,127478,320787,0.049,0.124,40.6365238,-74.0474421,0
363,"Census Tract 39, Kings County, New York!!Estimate",166,242,36.2,"104,783","125,762","1,286",0,1.9,3.1,"1,061,300","3,567",840,"1,380","2,450",626,521,(X),"2,458",94.15481833,34.8,"Census Tract 39, Kings County, New York","Census Tract 39, Kings County, New York!!Percent",6.90%,0.60%,3.20%,1.90%,0.00%,7.80%,2.20%,8.10%,6.80%,27.80%,20.00%,14.20%,4.70%,2.70%,4.80%,90.60%,82.10%,0.70%,1.10%,72.20%,7.00%,43.00%,66.00%,3.30%,0.00%,4.50%,0.30%,68.70%,8.90%,51.60%,52.70%,1.80%,4.80%,73.90%,33.00%,10.10%,63.70%,11.00%,0.40%,14.20%,15.10%,39,4512,14000US36047003900,36047003900,MHI - Ongoing Exclusion,NY,156923,0,0.061,0,40.6849013,-73.980824,0
364,"Census Tract 41, Kings County, New York!!Estimate",235,391,31.8,"134,722","177,989","1,609",0,2.8,3.7,"1,678,400","3,946","1,014","2,044","3,206",743,562,(X),"3,653",91.75853018,38.3,"Census Tract 41, Kings County, New York","Census Tract 41, Kings County, New York!!Percent",2.90%,0.50%,1.30%,1.50%,1.00%,11.90%,0.00%,9.40%,13.00%,20.70%,18.50%,13.70%,4.80%,3.70%,0.60%,92.90%,82.20%,0.00%,1.90%,63.80%,6.80%,35.10%,63.00%,2.40%,1.80%,2.30%,5.00%,80.20%,12.80%,40.00%,39.30%,4.80%,4.90%,66.00%,33.00%,15.50%,68.00%,15.10%,0.00%,9.60%,8.30%,41,4513,14000US36047004100,36047004100,MHI - Ongoing Exclusion,NY,162018,0,0.063,0,40.6865997,-73.9850537,0
